iter	Passed	Remaining
0	144	14303
1	145	7112
2	145	4712
3	146	3509
4	146	2790
5	147	2309
6	148	1968
7	148	1710
8	149	1510
9	149	1349
10	150	1217
11	151	1108
12	151	1015
13	152	935
14	152	866
15	153	805
16	153	751
17	154	703
18	154	659
19	155	620
20	155	585
21	156	553
22	156	524
23	157	498
24	157	473
25	158	450
26	158	429
27	159	409
28	159	391
29	160	374
30	160	358
31	161	343
32	161	328
33	162	315
34	163	302
35	163	290
36	164	279
37	164	268
38	165	258
39	165	248
40	166	239
41	166	229
42	166	221
43	167	212
44	167	205
45	168	197
46	168	190
47	169	183
48	169	176
49	170	170
50	170	164
51	171	158
52	171	152
53	172	146
54	172	141
55	173	135
56	173	130
57	174	126
58	174	121
59	175	116
60	175	112
61	176	107
62	176	103
63	177	99
64	177	95
65	178	91
66	178	87
67	178	84
68	179	80
69	179	77
70	180	73
71	180	70
72	181	66
73	181	63
74	181	60
75	182	57
76	182	54
77	183	51
78	183	48
79	184	46
80	184	43
81	185	40
82	185	38
83	186	35
84	186	32
85	187	30
86	187	28
87	188	25
88	188	23
89	189	21
90	189	18
91	190	16
92	190	14
93	191	12
94	191	10
95	192	8
96	192	5
97	193	3
98	193	1
99	194	0
